time,source,destination,status
24423,42,80,down
24429,13,56,up
24429,13,56,down
24450,7,95,up
24450,7,85,up
24450,7,38,up
24450,7,95,down
24450,7,85,down
24450,7,38,down
24507,56,96,up
24529,94,96,up
24529,94,96,down
24555,96,56,up
24599,28,7,up
24599,28,7,down
24600,80,7,up
24600,80,95,up
24600,85,7,up
24600,85,28,up
24600,85,7,down
24740,42,7,up
24755,28,80,up
24820,56,96,down
24842,13,7,up
24842,13,7,down
24845,70,7,up
24869,28,14,up
24869,28,77,up
24869,28,14,down
24869,28,77,down
24890,96,94,up
24890,96,94,down
24890,96,56,down
24913,80,7,down
24913,80,95,down
24969,4,77,down
24973,88,7,up
25106,28,94,up
25123,7,70,up
25123,7,42,up
25123,7,80,up
25123,7,88,up
25123,7,70,down
25123,7,42,down
25123,7,80,down
25123,7,88,down
25153,28,56,up
25158,70,7,down
25179,94,28,up
25197,95,94,up
25197,95,56,up
25203,56,28,up
25203,56,38,up
25203,56,85,up
25286,88,7,down
25307,85,94,up
25307,85,56,up
25355,38,56,up
25355,38,94,up
25369,42,7,down
25423,28,13,up
25423,28,13,down
25423,28,80,down
25474,13,95,down
25474,13,17,down
25474,13,80,down
25474,13,84,down
25512,14,77,up
25647,6,7,up
25647,6,20,up
25647,6,7,down
25647,6,20,down
25831,94,56,down
25874,80,82,up
25874,80,84,up
25890,13,84,up
25890,13,95,up
25890,13,17,up
25890,13,80,up
25890,13,84,down
25903,56,82,up
25903,56,80,up
25903,56,28,down
25903,56,94,down
25960,85,28,down
25995,38,56,down
26176,95,28,up
26224,56,38,down
26275,13,82,up
26315,38,28,up
26315,38,28,down
26321,85,17,up
26321,85,94,down
26321,85,95,down
26321,85,17,down
26321,85,38,down
26321,85,56,down
26390,42,6,up
26390,42,6,down
26465,14,77,down
26506,80,56,up
26506,80,82,down
26544,28,15,up
26561,56,82,down
26588,13,82,down
26603,15,38,up
26603,15,13,up
26603,15,95,up
26603,15,17,up
26603,15,56,up
26603,15,80,up
26603,15,38,down
26662,85,94,up
26662,85,95,up
26662,85,38,up
26662,85,15,up
26662,85,56,up
26662,85,94,down
26662,85,95,down
26662,85,38,down
26662,85,15,down
26662,85,56,down
26849,95,15,up
26849,95,80,up
26930,56,15,up
27142,80,15,up
27154,28,15,down
27172,88,70,down
27172,88,84,down
27222,6,77,up
27230,15,13,down
27242,13,15,up
27349,56,13,up
27349,56,94,up
27349,56,28,up
27372,70,88,down
27396,42,56,up
27396,42,56,down
27466,85,94,up
27466,85,17,up
27466,85,95,up
27466,85,38,up
27466,85,56,up
27466,85,28,up
27474,80,95,up
27474,80,56,down
27522,95,88,up
27522,95,13,down
27525,28,88,up
27606,13,56,up
27606,13,15,down
27619,38,28,up
27710,56,42,up
27710,56,88,up
27710,56,42,down
27710,56,88,down
27791,85,88,up
27884,88,15,up
27884,88,85,up
27884,88,28,up
27884,88,94,up
27884,88,95,up
27884,88,56,up
27884,88,17,up
27884,88,15,down
27903,15,95,down
27903,15,17,down
27903,15,56,down
27903,15,80,down
27956,13,88,up
27956,13,56,down
27956,13,88,down
27985,28,17,down
28096,94,88,up
28096,94,56,up
28096,94,88,down
28105,85,88,down
28115,80,13,down
28115,80,15,down
28115,80,84,down
28115,80,95,down
28178,95,15,down
28178,95,88,down
28188,28,15,up
28188,28,15,down
28232,28,88,down
28246,88,38,up
28246,88,85,down
28246,88,38,down
28246,88,28,down
28246,88,94,down
28246,88,95,down
28246,88,56,down
28324,38,15,up
28324,38,56,up
28324,38,15,down
28416,56,82,up
28416,56,38,up
28416,56,15,down
28424,85,94,down
28431,80,82,up
28494,95,80,down
28554,6,20,up
28554,6,20,down
28607,13,84,up
28607,13,82,up
28607,13,84,down
28744,80,82,down
28766,56,13,down
28766,56,80,down
28766,56,82,down
28833,95,13,up
28833,95,94,down
28894,88,13,up
28894,88,84,up
28894,88,70,up
28894,88,13,down
28894,88,17,down
28920,13,82,down
28993,38,94,down
29008,42,88,up
29057,28,94,down
29127,94,13,up
29127,94,17,up
29127,94,13,down
29127,94,17,down
29127,94,28,down
29127,94,56,down
29127,94,85,down
29127,94,38,down
29127,94,95,down
29148,56,94,down
29261,70,88,up
29322,42,88,down
29441,80,95,up
29441,80,13,up
29441,80,95,down
29522,28,17,up
29695,42,80,up
29695,42,80,down
29765,80,84,up
29765,80,17,down
29765,80,84,down
29815,95,13,down
29887,88,42,up
29887,88,42,down
29893,6,80,up
29893,6,80,down
30111,80,7,up
30111,80,7,down
30202,88,7,up
30202,88,7,down
30202,88,84,down
30206,6,77,down
30225,70,7,up
30225,70,7,down
30225,70,84,down
30281,7,88,up
30281,7,42,up
30281,7,88,down
30327,13,70,up
30327,13,42,up
30327,13,7,up
30327,13,84,up
30327,13,88,up
30327,13,95,down
30327,13,70,down
30327,13,42,down
30327,13,17,down
30327,13,7,down
30327,13,84,down
30327,13,88,down
30458,56,17,down
30539,70,88,down
30771,42,6,up
30771,42,7,up
30771,42,6,down
30871,14,79,up
31036,79,14,up
31126,56,28,down
31126,56,85,down
31126,56,38,down
31126,56,95,down
31428,95,28,down
31473,56,95,up
31473,56,17,up
31473,56,38,up
31473,56,28,up
31473,56,95,down
31473,56,17,down
31473,56,38,down
31473,56,28,down
31929,38,95,down
31996,80,6,up
32040,85,17,down
32055,95,38,down
32090,88,58,up
32090,88,58,down
32132,6,13,up
32132,6,13,down
32166,56,95,up
32166,56,17,up
32166,56,85,up
32166,56,38,up
32166,56,28,up
32207,13,6,up
32627,80,6,down
32839,13,6,down
32841,56,95,down
32841,56,17,down
32841,56,38,down
32917,38,85,down
32917,38,56,down
32917,38,28,down
32987,85,95,down
32987,85,38,down
33051,95,28,up
33051,95,17,down
33051,95,56,down
33051,95,85,down
33051,95,28,down
33101,28,38,down
33166,28,42,up
33166,28,17,down
33166,28,42,down
33166,28,95,down
33189,56,85,down
33251,38,95,up
33251,38,95,down
33262,28,4,up
33306,85,4,up
33306,85,4,down
33306,85,56,down
33306,85,28,down
33403,28,85,down
33447,28,4,down
33502,56,28,down
33551,7,84,up
33551,7,42,down
33551,7,84,down
33714,42,7,down
33886,80,13,down
33990,70,95,up
34096,13,80,down
34213,80,17,up
34213,80,17,down
34368,42,80,up
34368,42,80,down
34754,56,28,up
34754,56,28,down
34919,88,95,up
34919,88,70,down
34932,95,88,up
34952,70,88,up
35251,95,70,up
35251,95,70,down
35270,14,79,down
35429,79,14,down
35578,70,95,down
35578,70,88,down
36152,28,56,down
36171,88,95,down
36194,95,88,down
36691,61,85,up
36691,61,85,down
36834,85,61,up
36834,85,61,down
50423,28,77,up
50423,28,77,down
52033,28,77,up
80077,28,77,down
80277,28,77,up
83424,28,77,down
86704,28,5,up
86790,5,28,up
87103,5,28,down
87136,88,70,up
87347,70,88,up
87347,70,88,down
88280,28,94,up
88351,28,80,up
88351,28,80,down
88783,15,5,up
88930,28,15,up
89091,94,14,up
89091,94,15,up
89091,94,28,up
89091,94,14,down
89091,94,15,down
89130,15,28,up
89130,15,28,down
89181,80,6,up
89181,80,6,down
89251,6,20,up
89251,6,20,down
89419,28,5,down
89721,94,28,down
89812,80,5,up
89812,80,5,down
89944,28,14,up
89944,28,80,up
89944,28,14,down
89944,28,80,down
90397,15,28,up
90678,38,94,up
90727,28,38,up
90731,15,13,up
91096,28,15,down
91112,15,38,up
91112,15,5,down
91112,15,13,down
91112,15,38,down
91112,15,28,down
91400,13,5,up
91550,15,20,up
91550,15,20,down
91969,38,28,up
91969,38,94,down
91969,38,28,down
92149,28,38,down
92335,28,5,up
92473,88,70,down
92986,28,5,down
